LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2015,12.1478013250305,
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2016,13.9108623268582,
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2017,13.3130181813933,
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2018,15.3998046184864,
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2019,17.1391355489034,
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2020,17.3310337179347,
SWE,HHSAVFORECAST,NET,PC_HHDI,A,2021,17.6416597395866,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2015,3.87467675493831,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2016,3.24922944911747,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2017,5.96873520023627,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2018,5.7789120806988,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2019,5.76317421584856,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2020,5.601413807257,
IRL,HHSAVFORECAST,NET,PC_HHDI,A,2021,5.20138280381675,
ESP,HHSAVFORECAST,NET,PC_HHDI,A,2015,3.03265761434009,
ESP,HHSAVFORECAST,NET,PC_HHDI,A,2016,2.82793034651365,
ESP,HHSAVFORECAST,NET,PC_HHDI,A,2017,1.15023443386807,
ESP,HHSAVFORECAST,NET,PC_HHDI,A,2018,1.51756391573368,
ESP,HHSAVFORECAST,NET,PC_HHDI,A,2019,2.32396203104787,
ESP,HHSAVFORECAST,NET,PC_HHDI,A,2020,2.56039333764052,
ESP,HHSAVFORECAST,NET,PC_HHDI,A,2021,3.00208250483156,
LTU,HHSAVFORECAST,NET,PC_HHDI,A,2015,-3.42907118320108,
LTU,HHSAVFORECAST,NET,PC_HHDI,A,2016,-0.8223726085493,
LTU,HHSAVFORECAST,NET,PC_HHDI,A,2017,-3.567763856895,
LTU,HHSAVFORECAST,NET,PC_HHDI,A,2018,-5.06777300723629,
LTU,HHSAVFORECAST,NET,PC_HHDI,A,2019,-4.85469736773693,
LTU,HHSAVFORECAST,NET,PC_HHDI,A,2020,-4.74721045084326,
LTU,HHSAVFORECAST,NET,PC_HHDI,A,2021,-4.64863131658268,
LVA,HHSAVFORECAST,NET,PC_HHDI,A,2015,-8.85834549558913,
LVA,HHSAVFORECAST,NET,PC_HHDI,A,2016,-5.01169130391935,
LVA,HHSAVFORECAST,NET,PC_HHDI,A,2017,-5.10342851597944,
LVA,HHSAVFORECAST,NET,PC_HHDI,A,2018,-2.58738582119001,
LVA,HHSAVFORECAST,NET,PC_HHDI,A,2019,-0.193425948201562,
LVA,HHSAVFORECAST,NET,PC_HHDI,A,2020,1.44075288543416,
LVA,HHSAVFORECAST,NET,PC_HHDI,A,2021,2.86585558614062,
BGR,HHSAVFORECAST,NET,PC_HHDI,A,2015,-2.62748295286096,
BGR,HHSAVFORECAST,NET,PC_HHDI,A,2016,-1.83914990404437,
BGR,HHSAVFORECAST,NET,PC_HHDI,A,2017,-0.83761190100053,
BGR,HHSAVFORECAST,NET,PC_HHDI,A,2018,1.21983999964604,
BGR,HHSAVFORECAST,NET,PC_HHDI,A,2019,0.351462795342857,
BGR,HHSAVFORECAST,NET,PC_HHDI,A,2020,-0.675873510726588,
BGR,HHSAVFORECAST,NET,PC_HHDI,A,2021,-1.85534356332004,
ROU,HHSAVFORECAST,NET,PC_HHDI,A,2015,-20.3456999466681,
ROU,HHSAVFORECAST,NET,PC_HHDI,A,2016,-18.07776252506,
ROU,HHSAVFORECAST,NET,PC_HHDI,A,2017,-15.3575530384216,
ROU,HHSAVFORECAST,NET,PC_HHDI,A,2018,-8.88737037481648,
ROU,HHSAVFORECAST,NET,PC_HHDI,A,2019,-8.13549665378537,
ROU,HHSAVFORECAST,NET,PC_HHDI,A,2020,-7.90659828609797,
ROU,HHSAVFORECAST,NET,PC_HHDI,A,2021,-7.72688949423022,
