Weekly GroceryExpenditure,Weekly Eating Out Expenditure,Finding affordable foods that fit my budget,"Avoiding foods that contain pesticides, added hormones & antibiotics","Finding convenient, quick-to-make alternatives",Finding foods my children will eat,Losing weight,Finding time to cook at home,"Avoiding certain nutrients or ingredients (i.e. sodium, carbohydrates, trans fats, etc.)",CurrentlyFarm,Age,MaritalStatus,NumberInHousehold,Children<12,CurrentlyOnFoodStamps,Education,Approximate / annual household income before taxes in 2012,0,1,2,3,4,5,6,7,8,9,Cluster,Race,State
2.0,1.0,1.0,2.0,3.0,5.0,6.0,4.0,7.0,2.0,1.0,1.0,5.0,2.0,2.0,5.0,2.0,0.33175530529012487,2.3555599973328736,-0.7520715348710055,-0.21139604513190138,-1.6544577146300652,-1.19536535678192,0.16914557975387323,-1.4915327505706995,-0.75845614422353,-1.7882752359021148,7,8.0,33.0
5.0,3.0,1.0,6.0,2.0,7.0,4.0,5.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,-0.6665689244418441,1.1987210106628576,-0.9771029678971588,0.7559437383988332,-1.2452928680541344,-0.7307068082717877,1.6652803506354394,0.0974533560687066,0.1778940383782922,0.8468912745022352,7,2.0,34.0
8.0,3.0,5.0,6.0,7.0,4.0,1.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,0.41312330059019864,-0.48160603510323485,0.5384919281436986,1.7472941803496518,-0.9528755721935138,1.5183821567972002,-1.409243440080726,1.155025188237987,0.957527343287379,1.346913936103498,4,1.0,28.0
3.0,2.0,2.0,4.0,5.0,3.0,1.0,7.0,6.0,2.0,2.0,2.0,4.0,1.0,2.0,5.0,4.0,1.3662890138636676,1.5563379015486918,0.5650539913270649,1.8128414149707994,-0.4647937318583452,1.0969417768833258,0.3878318895298213,-1.2301215718743193,-1.566797094244598,-1.5060976580085383,2,2.0,24.0
3.0,2.0,5.0,4.0,1.0,7.0,6.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.5863217062550738,0.5734157462957007,-1.3095641003474363,-0.9399225307572214,-0.40863754394649576,-1.203246381160641,-0.36313916696734955,1.9383021910078504,-0.25002296112754335,0.06794030440555805,7,2.0,34.0
6.0,5.0,6.0,2.0,5.0,1.0,4.0,7.0,3.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.640617328063811,1.0004503754618082,2.3667496142753484,0.4999003975809671,-1.6862758123226864,0.662260524296635,-0.09946631935152864,1.795289455834522,-0.8587252862312147,-0.8459651418007034,2,5.0,31.0
5.0,2.0,5.0,6.0,7.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,0.4295964843005332,-0.4677392703061353,-0.7706012850139436,1.5208382356101928,-0.05078061655977143,-0.20933370424575776,-2.4886881240585916,-0.34110071216928234,-0.40344384152186186,0.9225977972500066,0,12.0,5.0
8.0,2.0,5.0,4.0,3.0,7.0,6.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,5.0,6.0,0.7479949554401003,-1.321614785603482,-0.8896663363365218,-1.0096417438533327,-0.855208079440887,-0.7188592514202464,-0.5251658356024517,0.4039560573748494,0.08932173661279523,1.1435425214806263,0,1.0,20.0
6.0,5.0,5.0,2.0,7.0,3.0,1.0,4.0,6.0,2.0,4.0,2.0,4.0,1.0,2.0,5.0,9.0,2.88051033326848,-1.273649713413138,0.7563094832103703,1.085761385864735,-0.16418156728233643,1.232588084240789,-1.3027539789321452,-0.8339225470178522,-0.006433522627218269,-1.6488793171958813,3,1.0,33.0
3.0,5.0,6.0,5.0,7.0,4.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,6.0,-0.1244241467156818,-1.1159326310972673,0.7872419698305472,0.9651258712046094,0.635044070061045,0.7373235510855947,-2.353299029567271,1.0242395447803008,-0.5092552273699009,1.0501709344355274,0,14.0,10.0
5.0,2.0,1.0,3.0,2.0,7.0,5.0,6.0,4.0,2.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,-1.6783268837563572,0.3601722896358501,0.2847558419306077,-1.2986099349871687,-0.16944328829083438,1.3660487681516007,1.2678500322432513,-0.009912234399941065,0.1337903978876776,-0.47875800054152184,1,1.0,24.0
4.0,1.0,3.0,6.0,2.0,7.0,1.0,5.0,4.0,2.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,-2.221864042141583,-0.4001298066594732,-1.108378487477887,0.47753345223737725,1.460503386323092,1.3832862658330556,0.5957224234564116,0.04912685812103,-0.9106158450045942,-0.20460066067003888,1,1.0,5.0
6.0,2.0,3.0,7.0,5.0,4.0,2.0,1.0,6.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0887006450733905,1.6828438365566154,-2.006111752708554,1.807737305179822,-1.3158901100055973,0.11115717982471492,-1.2367929909722035,0.018389612795237494,0.7057784555171428,0.28531746183928447,2,1.0,33.0
7.0,3.0,1.0,5.0,3.0,7.0,4.0,6.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,0.13765686400290797,0.7445576849170599,0.11537149876005122,0.9098962125682165,-1.8861974531042613,-0.648916571818318,1.9311115980395879,-0.04854156101674873,0.45626219151105546,1.084940771042063,4,6.0,37.0
5.0,8.0,3.0,6.0,2.0,5.0,4.0,1.0,7.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,0.12099295550232084,1.6068789217133832,-1.9424087235620442,-0.9186412247811375,1.5878020495925549,0.738239105599546,-0.22218473238120584,1.4958462385037545,2.2950307872541496,-0.004012857767799199,7,2.0,39.0
2.0,1.0,5.0,7.0,3.0,2.0,4.0,1.0,6.0,2.0,3.0,2.0,3.0,1.0,2.0,6.0,2.0,1.2520934166233146,1.773532157983179,-2.283316743465342,0.25332962864686814,0.344306171226119,0.29653899609591283,-1.692333824794771,-0.01948761976107429,-2.4904393347252456,-0.3291004486631501,2,2.0,25.0
